Employee_ID,Employee_Name,Email,Department,Country,Status
E0001,Employee 1,user1@vendor.com,Operations,India,Active
E0002,Employee 2,user2@vendor.com,HR,Germany,Active
E0003,Employee 3,user3@company.com,Operations,India,Active
E0004,Employee 4,user4@company.com,IT,India,Inactive
E0005,Employee 5,user5@company.com,HR,Germany,Inactive
E0006,Employee 6,user6@external.org,Sales,USA,Active
E0007,Employee 7,user7@external.org,IT,UK,Active
E0008,Employee 8,user8@vendor.com,HR,USA,Inactive
E0009,Employee 9,user9@company.com,IT,India,Active
E0010,Employee 10,user10@company.com,Finance,UK,Inactive
E0011,Employee 11,user11@external.org,IT,UK,Inactive
E0012,Employee 12,user12@company.com,HR,Germany,Active
E0013,Employee 13,user13@vendor.com,HR,UK,Active
E0014,Employee 14,user14@vendor.com,HR,Germany,Active
E0015,Employee 15,user15@vendor.com,Operations,India,Inactive
E0016,Employee 16,user16@vendor.com,Sales,India,Active
E0017,Employee 17,user17@company.com,HR,Germany,Active
E0018,Employee 18,user18@company.com,IT,UK,Active
E0019,Employee 19,user19@company.com,IT,Germany,Active
E0020,Employee 20,user20@company.com,IT,Canada,Active
E0021,Employee 21,user21@company.com,IT,Canada,Active
E0022,Employee 22,user22@vendor.com,Finance,USA,Active
E0023,Employee 23,user23@company.com,IT,Canada,Active
E0024,Employee 24,user24@vendor.com,IT,India,Active
E0025,Employee 25,user25@external.org,Sales,Germany,Inactive
E0026,Employee 26,user26@company.com,Finance,Canada,Inactive
E0027,Employee 27,user27@company.com,Sales,Canada,Active
E0028,Employee 28,user28@vendor.com,Sales,USA,Active
E0029,Employee 29,user29@company.com,Operations,Canada,Inactive
E0030,Employee 30,user30@external.org,Finance,Germany,Inactive
E0031,Employee 31,user31@external.org,Sales,Germany,Active
E0032,Employee 32,user32@company.com,Finance,India,Active
E0033,Employee 33,user33@external.org,Sales,UK,Active
E0034,Employee 34,user34@company.com,Sales,USA,Inactive
E0035,Employee 35,user35@vendor.com,IT,India,Inactive
E0036,Employee 36,user36@external.org,Sales,UK,Inactive
E0037,Employee 37,user37@company.com,Finance,Germany,Inactive
E0038,Employee 38,user38@vendor.com,Finance,UK,Active
E0039,Employee 39,user39@external.org,Operations,Canada,Inactive
E0040,Employee 40,user40@external.org,Sales,Canada,Active
E0041,Employee 41,user41@vendor.com,Sales,India,Inactive
E0042,Employee 42,user42@vendor.com,HR,Germany,Active
E0043,Employee 43,user43@company.com,Operations,Canada,Active
E0044,Employee 44,user44@vendor.com,HR,Germany,Inactive
E0045,Employee 45,user45@company.com,Finance,Canada,Active
E0046,Employee 46,user46@external.org,Finance,Germany,Inactive
E0047,Employee 47,user47@vendor.com,HR,UK,Active
E0048,Employee 48,user48@company.com,IT,Canada,Active
E0049,Employee 49,user49@vendor.com,Sales,USA,Active
E0050,Employee 50,user50@vendor.com,Finance,India,Inactive
E0051,Employee 51,user51@company.com,HR,Canada,Inactive
E0052,Employee 52,user52@external.org,Operations,Germany,Active
E0053,Employee 53,user53@external.org,Finance,USA,Inactive
E0054,Employee 54,user54@vendor.com,Finance,USA,Active
E0055,Employee 55,user55@company.com,Operations,India,Active
E0056,Employee 56,user56@vendor.com,HR,Canada,Inactive
E0057,Employee 57,user57@vendor.com,Operations,UK,Active
E0058,Employee 58,user58@vendor.com,Finance,India,Active
E0059,Employee 59,user59@vendor.com,Operations,UK,Active
E0060,Employee 60,user60@vendor.com,IT,Germany,Inactive
E0061,Employee 61,user61@company.com,Finance,Germany,Active
E0062,Employee 62,user62@vendor.com,Sales,USA,Inactive
E0063,Employee 63,user63@vendor.com,Operations,Germany,Inactive
E0064,Employee 64,user64@external.org,IT,Germany,Active
E0065,Employee 65,user65@external.org,IT,USA,Inactive
E0066,Employee 66,user66@company.com,Operations,India,Active
E0067,Employee 67,user67@external.org,Sales,UK,Active
E0068,Employee 68,user68@vendor.com,Finance,USA,Active
E0069,Employee 69,user69@external.org,Sales,Germany,Inactive
E0070,Employee 70,user70@vendor.com,Operations,Germany,Active
E0071,Employee 71,user71@external.org,HR,India,Active
E0072,Employee 72,user72@company.com,HR,UK,Active
E0073,Employee 73,user73@company.com,IT,USA,Inactive
E0074,Employee 74,user74@company.com,Operations,India,Active
E0075,Employee 75,user75@company.com,Sales,USA,Active
E0076,Employee 76,user76@company.com,Finance,Germany,Active
