Emp Name,Expense Type,Payment Thru,Amount,Service Fee,Total Amount,Transaction Date,Country,Department
Elizabeth Lyons DDS,Meals,Cash,1366.93,62.28,1429.21,2024-05-17,Germany,SALS
Cynthia Jones,Air,Card,1348.26,91.73,1439.99,2024-12-28,Australia,EXEC
Jason Pham,Air,Card,401.81,15.09,416.9,2023-08-07,United Kingdom,FINC
David Whitney,Air,Cash,131.08,8.8,139.88,2023-03-19,United Kingdom,ENGG
Michael Shields,Car,Cash,209.32,4.77,214.09,2023-03-20,Canada,SALS
Jessica Johnston,Hotel,Cash,270.92,12.9,283.82,2023-04-11,Canada,ENGG
Kathy Green,Car,Card,1911.86,169.42,2081.28,2024-12-14,Canada,SALS
Pamela Thompson,Meals,Cash,223.53,18.73,242.26,2024-07-03,United Kingdom,EXEC
Alexis Murphy,Car,Cash,1384.89,71.66,1456.55,2024-02-10,Germany,ENGG
Howard Wade,Hotel,Cash,1483.96,115.77,1599.73,2023-11-12,India,ADMN
Dr. Bruce Morgan,Meals,Cash,553.46,35.12,588.58,2024-05-30,Germany,ADMN
Daniel Hicks,Air,Cash,1346.66,76.59,1423.25,2023-02-14,United Kingdom,ENGG
Ryan Thomas,Air,Cash,1175.15,75.5,1250.65,2024-12-24,Canada,ENGG
Andrew Lamb,Air,Card,1358.41,32.65,1391.06,2023-01-18,Canada,EXEC
Samantha Hartman,Meals,Card,1903.72,85.93,1989.65,2024-01-31,United States,EXEC
David Mejia,Meals,Card,1707.33,96.41,1803.74,2023-12-29,Germany,ENGG
Martha Price,Hotel,Cash,1534.0,57.05,1591.05,2024-02-15,Germany,FINC
Desiree Reynolds,Hotel,Cash,1247.38,47.4,1294.78,2023-10-23,Canada,EXEC
Raymond Griffin,Air,Card,172.63,8.99,181.62,2024-03-28,Canada,EXEC
Kenneth Floyd,Meals,Card,1489.61,133.52,1623.13,2024-07-09,United States,EXEC
William Vargas,Car,Card,705.8,14.85,720.65,2024-09-21,United Kingdom,FINC
Leslie Pineda,Hotel,Cash,323.52,23.32,346.84,2024-03-01,United States,SALS
Alexander Miles,Car,Cash,151.06,10.83,161.89,2024-09-20,Canada,SALS
Diane Mcguire,Car,Cash,110.96,10.96,121.92,2023-06-25,Australia,ADMN
Brittany Bridges,Meals,Cash,103.85,5.47,109.32,2024-08-23,United States,ENGG
Nicole Ruiz,Meals,Card,1864.63,122.46,1987.09,2024-02-03,Canada,EXEC
Suzanne Jackson,Air,Card,809.4,48.31,857.71,2023-02-01,Germany,SALS
Michael Shaw,Hotel,Cash,1513.49,85.3,1598.79,2024-01-25,India,SALS
Samuel Williams,Hotel,Cash,1162.3,115.64,1277.94,2024-11-13,Australia,ENGG
Christine Bryant,Hotel,Cash,490.05,33.58,523.63,2023-06-24,United Kingdom,SALS
Charles Sosa,Air,Cash,1772.08,94.6,1866.68,2023-10-15,India,ENGG
Dustin Sullivan,Hotel,Card,1170.4,70.65,1241.05,2023-11-07,United Kingdom,FINC
Jennifer Werner,Car,Cash,1134.57,74.38,1208.95,2024-07-16,India,ADMN
Nicholas York,Meals,Cash,883.33,85.37,968.7,2023-04-14,Australia,EXEC
Craig Owens,Hotel,Card,1144.71,28.56,1173.27,2024-07-05,United States,EXEC
Jerry Hamilton,Air,Cash,1590.01,74.58,1664.59,2024-06-01,Canada,ENGG
Nichole Leonard,Air,Card,733.33,53.83,787.16,2024-09-09,United States,ADMN
Tammy Reyes,Hotel,Card,1837.42,176.41,2013.83,2024-12-26,Australia,ENGG
David Banks,Meals,Card,1372.09,123.75,1495.84,2023-01-26,India,ENGG
Christopher Davis,Car,Cash,546.89,31.66,578.55,2023-10-19,India,ADMN
Michael Clark,Air,Card,845.74,23.67,869.41,2023-11-23,United Kingdom,ENGG
Megan Howard,Meals,Card,526.83,43.3,570.13,2024-07-10,Germany,FINC
Adam Hood,Meals,Card,556.2,37.36,593.56,2024-08-21,United States,EXEC
Victoria Gray,Air,Card,895.14,79.6,974.74,2024-06-24,United Kingdom,ENGG
Dana Davis,Hotel,Card,1854.18,67.35,1921.53,2023-02-02,India,ENGG
Jason Hudson,Meals,Card,739.63,73.45,813.08,2024-06-02,Germany,SALS
Jessica Carr,Air,Card,216.02,14.43,230.45,2023-11-19,Germany,EXEC
Matthew Soto,Hotel,Cash,1258.04,95.84,1353.88,2023-11-09,India,FINC
James Meyer,Hotel,Cash,1183.08,79.49,1262.57,2023-03-30,India,SALS
Alicia Johnson,Hotel,Cash,125.45,5.85,131.3,2023-11-21,Germany,EXEC
George Medina,Car,Cash,294.54,12.62,307.16,2023-10-31,United States,ADMN
Eric Booker,Car,Card,1430.14,41.43,1471.57,2024-01-14,Australia,EXEC
Jason Carlson,Hotel,Card,243.76,18.53,262.29,2023-11-10,United States,ENGG
Lori Randall,Car,Card,251.26,11.6,262.86,2023-08-12,United Kingdom,ADMN
Nicholas Edwards,Car,Card,1952.29,39.23,1991.52,2024-07-17,Australia,FINC
Michael Green,Hotel,Card,1313.93,123.36,1437.29,2024-05-03,India,ADMN
Rhonda Edwards,Car,Cash,605.85,44.35,650.2,2024-05-01,Australia,ENGG
James Gonzales,Meals,Card,1872.81,104.69,1977.5,2024-08-31,United Kingdom,EXEC
Isaac Mccullough,Car,Cash,1810.06,123.19,1933.25,2023-01-28,India,EXEC
Frederick Griffith,Meals,Card,1054.45,32.17,1086.62,2023-04-08,Germany,EXEC
Beth Serrano,Car,Cash,205.99,6.29,212.28,2024-09-30,United Kingdom,ENGG
Lisa Mccarthy,Hotel,Card,332.58,19.46,352.04,2024-09-23,Germany,ENGG
Brett Lucas,Car,Card,373.89,17.34,391.23,2023-07-14,Germany,FINC
Adam Graham,Air,Cash,1324.13,62.01,1386.14,2023-09-24,India,ADMN
Jennifer Carter,Car,Card,1942.08,164.0,2106.08,2024-11-26,Australia,EXEC
Donald Parker,Hotel,Card,1865.31,182.36,2047.67,2024-03-13,United Kingdom,SALS
Cory Vasquez,Hotel,Card,211.03,9.33,220.36,2024-12-16,United Kingdom,EXEC
Jeremy Duarte,Meals,Cash,1594.47,58.25,1652.72,2023-05-16,United States,SALS
Cynthia Wilson,Meals,Card,1599.45,120.59,1720.04,2023-05-04,United States,EXEC
Todd Cole,Car,Card,1602.05,54.63,1656.68,2023-11-02,United States,EXEC
James Murphy,Meals,Card,724.03,40.97,765.0,2023-05-11,India,ENGG
Joshua Bridges,Meals,Cash,1382.77,135.89,1518.66,2024-10-30,Canada,SALS
Amy Macias,Car,Card,121.99,4.32,126.31,2024-05-06,Australia,SALS
Kyle Kaiser,Meals,Card,596.47,26.38,622.85,2023-10-25,United States,SALS
Zoe Frost,Meals,Card,1568.57,152.33,1720.9,2023-06-30,India,ADMN
Ryan Esparza,Car,Cash,1224.16,121.8,1345.96,2024-01-08,Australia,FINC
Ann Jackson,Car,Card,357.02,7.18,364.2,2024-11-06,United States,EXEC
Melissa Hayes,Hotel,Cash,69.52,6.0,75.52,2023-11-22,Australia,ENGG
Katherine Keller,Meals,Cash,85.65,5.81,91.46,2023-04-26,Australia,FINC
Anthony Travis,Car,Cash,159.72,15.72,175.44,2024-11-21,India,ADMN
Anthony Hansen,Hotel,Cash,197.08,17.79,214.87,2024-10-23,United States,EXEC
Dr. Christopher Turner,Car,Cash,123.98,8.31,132.29,2023-12-11,United States,EXEC
Crystal Montgomery,Car,Card,433.75,19.82,453.57,2024-11-03,Australia,EXEC
Christine Baker,Air,Card,538.09,32.07,570.16,2024-04-17,United States,ENGG
Jorge Simmons,Car,Cash,1116.27,91.24,1207.51,2023-08-25,Australia,FINC
Alan Long,Meals,Cash,504.84,46.21,551.05,2024-07-11,United Kingdom,ADMN
James Lyons,Air,Cash,1896.33,163.16,2059.49,2024-03-24,India,SALS
Kyle Scott,Hotel,Card,705.36,67.97,773.33,2024-01-27,India,ADMN
Valerie Morrison,Air,Cash,1534.61,99.47,1634.08,2024-06-09,Canada,ADMN
Hannah Oconnor,Hotel,Cash,240.93,12.42,253.35,2024-05-29,Canada,EXEC
Samuel Newman,Air,Card,580.87,35.55,616.42,2023-10-09,Germany,ENGG
Dawn Johnson,Air,Cash,1549.53,97.0,1646.53,2024-09-26,Australia,FINC
Brandon Morris,Car,Card,533.15,24.17,557.32,2023-07-10,Germany,ADMN
Nicholas Miller,Meals,Card,403.77,39.37,443.14,2023-01-24,Australia,ADMN
Peter Hunter,Meals,Card,1240.99,66.24,1307.23,2023-03-22,Canada,ADMN
Lisa Harris,Hotel,Card,626.16,50.26,676.42,2024-05-01,Australia,EXEC
Chase Silva,Hotel,Card,597.64,15.84,613.48,2023-04-27,Australia,ENGG
Brandy Hill,Hotel,Cash,110.69,8.57,119.26,2023-05-18,United Kingdom,ADMN
Christopher Alexander,Meals,Card,731.25,67.33,798.58,2024-04-12,Germany,ENGG
Cassandra Russell,Meals,Card,1600.17,58.89,1659.06,2024-07-11,Canada,FINC
Levi Mcdowell,Air,Cash,908.39,49.98,958.37,2023-11-15,United Kingdom,FINC
Benjamin George,Air,Card,1690.42,96.63,1787.05,2023-03-29,India,SALS
Jasmine Guerrero,Hotel,Card,1157.84,24.77,1182.61,2024-10-05,Germany,FINC
Madeline Bell,Meals,Card,1650.64,86.4,1737.04,2023-11-26,Germany,ADMN
Danielle Miles,Air,Card,1017.32,67.15,1084.47,2024-07-06,United Kingdom,FINC
Courtney Lang,Hotel,Card,802.21,23.8,826.01,2024-09-19,Germany,ADMN
Jennifer Caldwell,Hotel,Card,719.2,58.86,778.06,2023-12-31,Canada,ADMN
Jared Villarreal,Car,Cash,1807.23,57.11,1864.34,2023-07-11,Australia,EXEC
Cheyenne Curtis,Air,Card,1968.95,119.21,2088.16,2023-09-29,Germany,EXEC
Rebecca Avila,Air,Card,1572.49,97.33,1669.82,2024-03-06,United States,ENGG
Andrea Wright,Meals,Cash,1682.56,35.59,1718.15,2024-01-06,Australia,EXEC
Ronald Garcia,Meals,Cash,329.38,26.62,356.0,2023-10-04,Canada,ENGG
Tracy Allen,Air,Cash,443.26,39.34,482.6,2023-11-18,India,ADMN
Julian Wells,Car,Cash,408.8,30.53,439.33,2023-05-18,United Kingdom,FINC
Richard Santiago,Hotel,Cash,1003.79,78.23,1082.02,2023-04-22,United Kingdom,EXEC
April Goodwin,Car,Card,497.27,13.35,510.62,2023-02-11,Canada,SALS
